"Country or Area","Year","Value"
"New Zealand","2008","33547.6833748485"
"New Zealand","2007","34581.8896564294"
"New Zealand","2006","35741.8396873397"
"New Zealand","2005","35609.2390359446"
"New Zealand","2004","35344.4011669176"
"New Zealand","2003","35426.0028685704"
"New Zealand","2002","35207.9582567543"
"New Zealand","2001","35272.6519491381"
"New Zealand","2000","35079.9933187651"
"New Zealand","1999","34213.2599938913"
"New Zealand","1998","33889.6304748312"
"New Zealand","1997","34572.5765671858"
"New Zealand","1996","33930.6964808065"
"New Zealand","1995","33315.5992432487"
"New Zealand","1994","32902.2280765626"
"New Zealand","1993","32180.0327001718"
"New Zealand","1992","32160.3006116168"
"New Zealand","1991","32473.4501809265"
"New Zealand","1990","32277.1846753432"
